Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
21183,B002QWP89S,A8NX9GKEUAG8U,S. Kim,0,0,5,1333324800,Dog goes crazy over these!,My dog has been loving these chews for years! I give him one everyday and it has done a great job at keeping plaque and tartar build up at bay.
24619,B0047E2I5U,A74ZHK7QFVQ29,Artìst,1,1,5,1305072000,My Westie loves it!,"I have a 6 year old westie that had the worst food allergies, her coat was very brittle, and she had low energy.  One walk and she'd be passed out.  As many of you on here, I take pride in my dog and pride that I want to take care of it the best that I am able to. I've tried blue buffalo and other high rated foods, but she would not eat them unless I ""spiced"" it up with something. It was time consuming, frustrating, and hard to keep her on an eating schedule.  I finally decided to give this a go ahead even though it is on the pricey side.<br /><br />What I've noticed is that she eats it immediately and even licks her bowl.  Her coat is soft and shiny now, she's a running dog now than a walk dog (and thats saying something considering she's a westie), and her eating schedule is regulated and I have a better idea of what she's eaten so I can control her weight (she's a small westie around 14 lbs.)<br /><br />For those of you thinking that its too expensive there's no way you could afford to keep your dog on this diet. For my dog she requires about 0.75 ounces or 3/4 of a scoop and that goes a long way for a 2.2 lb. bag.  So its not like I am buying this dog food every week.<br /><br />The only small negative is the dog food has a slight smell to it.  Nothing that will make you vomit but its not something I am used to smelling when giving her dog food.  For those wondering what the dog food looks like?  It's like small shredded pieces of dark jerky.<br /><br />Recommendation?  BUY"
18727,B000FFRU3U,A3K7XR1T8LBTB,K. Frappier,9,9,5,1173657600,My favorite instant oatmeal so far.,"I love Dr. McDougall's products, and this is my favorite instant oatmeal (compared to his other flavors and the Nature's Path oatmeal I eat at work). The large size makes is a hearty meal and it fits perfectly into my cup holder. So, when I get to college in the morning at 7am, I can eat this wholesome breakfast and feel full most of the morning until class ends at 12:30 pm. Not too much sugar yet still flavorful. Good texture, too.<br /><br />I prefer this over the other flavors."
36130,B000FBQ594,A2GJSO5UUMNLX0,Sunny,1,1,5,1182816000,Excellent cookie,"Wow, was I surprised when I first bit into one of these cookies.  They are absolutly delicous.  I just ordered another case of them.  Can't get cookies like these in a supermarket or a bakery even."
3304,B005K4Q1VI,A1TOW634MZ0ELQ,kathyallen45,0,0,5,1328659200,Hot Choc K Cup,Wow what a deal. These taste just as good as the expensive brands. Most definately will be buying these again.
34520,B008FHUDW0,A27PKE65KFRHJV,Jenny V,0,0,5,1348185600,Great value,"These k-cups are a great value - much better cost per unit than other places (grocery store, etc).<br />I love the flavor of the Caribou  coffee k-cups...they are my favorite. This one is great, and the obsidian as well."
30956,B007M83302,A33ODUX6596NW3,AmandaGal,0,0,5,1303948800,OMG! These Are Good,"I normally HATE fake chips.  I don't even really like real chips, but if I'm having a chip, I don't want any of those taro, cassava whatevertheheck kind of chips.  They border on disgusting.  I was tentative to try these when I got them.<br /><br />I was surprised.  These chips are thick, airy and wonderful.  The BBQ flavor is the closest I've had to ""real"" BBQ chips.  I could eat a whole bag.<br /><br />I wouldn't call them a healthy snack, but they are more healthy than regular chips and quite enjoyable.  I can't believe I like a fake chip!"
31032,B007M83302,A369XPXR47NQPZ,Core,0,0,5,1287360000,Delicious BBQ Chips,"Great tasting BBQ Chips. Going to buy more.<br /><br />At first, looking at the size of the bags, and just thinking about the concept of ""Popped chips"" I was on the fence. Glad I finally made up my mind.<br /><br />My only complaint is, that these bags are so small. I want to purchase a regular size bag. Maybe a box of six or something. Because if you buy in bulk you save. Having to buy a box of 24... all that extra packaging is going to cost you."
49807,B000EUIZ8K,A35842Z8RUHYCQ,Nir@d,1,1,5,1302739200,My first Tazo tea,"One of the most unique teas I've ever tasted. I first started drinking this tea because I wanted to start substituting green tea for coffee. So one day I ventured into my local Starbucks and order a green tea. The barista then served me up this wonderful cup of tea. Curious I read the label hanging out of the cup and began my mission to purchase some of this Zen tea. After a few misses I found a Tazo box at my local pharmacy Duane Reade (which is less of a drugstore and more of a supermarket). The tea that brewed was wonderful and flavorful, but I have to admit, I was a little disappointed. I mistakenly thought that the box of Tazo tea housed the sachets like those I had tried at Starbucks. I would later discover the `tins' (as I call them), which are sold locally at Starbucks (duh).<br /><br />In my opinion both the filter bag and the sachet taste strikingly similar. However, I still favor the sachets as they were my first experience with Tazo.<br /><br />Whoever is the Tea Master at Tazo is doing a superb job at keeping taste very consistent.<br /><br />I brew the Zen tea piping out and let it sit for a while longer than usual. I find that if I let it steep for to short I get too much lemon grass, as it takes a while for the green tea flavors to steep out. It's really an art to balance the complex flavors of this tea, yet well worth the mastery."
17743,B000Z978SS,AEC2A39TRSSDU,rishtey yana,4,5,5,1271116800,GREAT SUGAR!!!!,I HATE ALL FORMS OF DIET SUGARS!<br />THEY ALL HAVE AN AWFUL CHEMICAL TASTE WHICH IS ALWAYS TOO SWEET<br />i FOUND THIS ERYTHRITOL I WAS SOOO HAPPY TO HAVE SOMETHING THAT TASTED GOOD IN BOTH TEA AND COFFEE WITH NONE OF THE GUILT OF REGULAR SUGAR!<br />TRY IT I THINK YOU WILL LOVE IT!
