Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary
3190,B000FDKUSO,A3PENBFALXOATY,lychee07,0,0,5,1343347200,"LOVED IT, SHARED IT, EVERYONE LOVED IT"
3191,B000FDKUSO,A2U8853VUAU0I,Ohmygosh,0,0,5,1339545600,best snack
3192,B000FDKUSO,A17KUCXAV34USP,Gobi55,0,1,5,1334016000,"Delicious, low calorie and healthy snack. Good price too!"
3193,B000LKXQ32,A2L1SNVFML2CUQ,jazzyunderpants,2,2,5,1325808000,The best organic green tea available in teabags.
3194,B000LKXQ32,A16Z0ZFQNWNPD4,Mary,2,2,5,1323216000,Refined Tea Taste
3195,B000LKXQ32,A2TKKLZTJV4NLV,A. Fisher,2,2,5,1270166400,The very best organic green tea!!
3196,B001YJ6M7Q,A1ELWI7BE38X4T,cindypoo,3,3,5,1320278400,will never buy a different brand again
3199,B001YJ6M7Q,A2O59C4OT9WAVL,muzikluvr,0,0,5,1310601600,Devine  White clam sauce?
3203,B000084DVR,A3DKGXWUEP1AI2,"Glenna E. Bauer ""Puppy Mum""",3,3,5,1163030400,Premium Quality Dog Food!!!
3204,B000084DVR,A1UGDJP1ZJWVPF,"T. Moore ""thoughtful reader""",1,1,5,1177977600,Good stuff!
3205,B005K4Q1VI,A1BJHZE41QWBX6,"Sharon Pipke ""Sharon""",0,0,5,1349568000,"Grove Square Hot Cocoa Cups, Milk Chocolate, Single Serve cup for Keurig K-cup brewers, 24 Count"
3207,B005K4Q1VI,AQ80LJNDLVZPG,PinkBiker,0,0,5,1349481600,So yummy!
3208,B005K4Q1VI,A2NWIF2APZNNV0,gio,0,0,5,1349395200,yummy
3209,B005K4Q1VI,A9RIPXAHUQBKY,Maddy,0,0,5,1348617600,Great!
3211,B005K4Q1VI,A3D7QMIGNEID0P,Margaret A. Kohl,0,0,5,1348272000,Great hot chocolate
3212,B005K4Q1VI,A103U3KR4L2ZXT,"AndreaR ""andiemack""",0,0,5,1348185600,Great cup of cocoa
